X,Y,OBJECTID,Census_Tra,Name,Address,City,Zipcode,State,Contact,PhoneNumbe,Latitude,Longitude,Comment_,Primary_Alt,Alternative_Name,DailyAvg
761038.115648686885834,2940335.087435096502304,1,0,Arbour Hospital,"49 Robinwood Ave, Boston, MA", ,02130, ,ARBOUR HOSP INC MASS CORP,617-522-4400,42.31577,-71.11224999, ,Primary,,
768907.965722605586052,2945461.267471432685852,2,0,Franciscan Children's Hospital & Rehab Center,"30 Warren St, Boston, MA", ,02119, ,RYAN ALBERTHA K TS,(617) 254-3800,42.32974,-71.08305999, ,Primary,,
756069.11541610956192,2933354.616487935185432,3,0,Hebrew Rehabilitation Center,"1200 Centre St, Boston, MA", ,02131, ,HEBREW REHABILITATION CNTR,617-363-8000,42.29668108,-71.13073384, ,Primary,,
763882.028267934918404,2934393.998267441987991,6,0,Lemuel Shattuck Hospital,"170 Morton St, Boston, MA", ,02124, ,COMMONWEALTH OF MASS,617-989-8315,42.29943676,-71.1018377, ,Primary,,
773337.544461861252785,2957633.374360769987106,7,0,Shriner’s Burn Institute ,"51 Blossom St, Boston, MA", ,02114, ,SHRINERS HOSPITAL,617-523-1684,42.36308,-71.06644999, ,Primary,Shriner’s Burn Institute ,
773734.100755363702774,2959366.433558687567711,8,0,Spaulding Rehabilitation Hospital,"125 Nashua St, Boston, MA", ,02114, ,SPAULDING REHAB HOSPITAL CP,617-573-7000,42.36782999,-71.06494999, ,Primary,,
762774.518671944737434,2949107.484260350465775,9,2069,Beth Israel Deaconess medical Center - East Campus,"330 Brookline Ave, Boston, MA 02215", ,02115, ,BETH ISRAEL DEACONESS,617-667-7000,42.33981999,-71.10567999, ,Primary,,140
771563.788166865706444,2947314.577085018157959,10,2307,Boston Medical Center - Menino Campus,"1 Boston Medical Center Pl. Boston, 02118", ,02118, ,BOSTON PUBLIC HEALTH COMM,617-638-8000,42.3347841,-71.07320405, ,Primary,,330
762293.999947935342789,2947750.000098690390587,11,2341,Brigham and Women's Hospital,"75 Francis St, Boston, MA, 02115", ,02115, ,BRIGHAM& WOMENS HOSP INC,617-732-5500,42.33610648,-71.10748046, ,Primary,,160
773701.053577363491058,2926420.772416025400162,12,2003,Carney Hospital,"2100 Dorchester Ave, Dorchester, MA, 02124", ,02124, ,NEW CARITAS CHRISTI HOSPITAL,617-296-2000,42.27742624,-71.06569303, ,Primary,,80
