X,Y,OBJECTID_1,OBJECTID,LIBRARIES_,DISTRICT,ST_ADDRESS,BRANCH,ZIPCODE
773730.896469295024872,2957036.988141387701035,1,5,5, ,151 Cambridge St,West End,02114
772255.18812383711338,2930088.40479239821434,2,11,11, ,690 Washington St,Codman Square,02124
758459.313129842281342,2918939.19646455347538,3,17,17,HYDE PARK,35 Harvard Av,Hyde Park,02136
761341.604802459478378,2942108.196473687887192,4,18,18,JAMAICA PLAIN,433 Centre St,Connolly,02130
768696.679035633802414,2945001.509477213025093,5,22,22,ROXBURY,149 Dudley St,Dudley,02119
770005.871084719896317,2952640.943332388997078,6,1,1,COPLEY SQUARE,700 Boylston St,Central,02116
776423.528496816754341,2958010.485186383128166,7,3,3, ,25 Parmenter St,North End,02113
770517.160372287034988,2949690.515472486615181,8,4,4, ,685 Tremont St,South End,02118
756679.180156826972961,2956470.288365513086319,9,6,6,BRIGHTON,300 North Harvard St,Honan-Allston,02134
749995.01784186065197,2951913.213434413075447,10,7,7, ,40 Academy Hill Rd,Brighton,02135
745942.688141211867332,2953222.554057359695435,11,8,8, ,419 Faneuil St,Faneuil,02135
773857.674630746245384,2962274.398992508649826,12,9,9,CHARLESTOWN,179 Main St,Charlestown,02129
776739.143144741654396,2929657.539670750498772,13,10,10,DORCHESTER,690 Adams St,Adams Street,02122
775118.634123414754868,2934245.120245575904846,14,12,12, ,1520 Dorchester Av,Fields Corner,02122
772946.329664319753647,2925001.726663023233414,15,13,13, ,27 Richmond St,Lower Mills,02124
773133.653276011347771,2940054.196470096707344,16,14,14, ,500 Columbia Rd,Uphams Corner,02125
783543.500100120902061,2963036.500039041042328,17,15,15,EAST BOSTON,365 Bremen St,East Boston,02128
760339.155594691634178,2937726.17309159040451,18,19,19, ,12 Sedgwick St,Jamaica Plain,02130
766273.324534073472023,2926416.603890299797058,19,20,20,MATTAPAN,1350 Blue Hill Avenue,Mattapan,02126
756649.330580234527588,2929333.088422834873199,20,21,21,ROSLINDALE,4246 Washington St,Roslindale,02131
765535.722403287887573,2939726.508607909083366,21,23,23, ,2044 Columbus Av,Egleston Square,02119
769451.69268487393856,2937533.691523760557175,22,24,24, ,41 Geneva Ave,Grove Hall,02121
764571.824418261647224,2946429.058275416493416,23,25,25, ,1497 Tremont St,Parker Hill,02120
748860.875801533460617,2928479.913536220788956,24,27,27,WEST ROXBURY,1961 Centre St,West Roxbury,02132
780886.008718967437744,2947741.333069190382957,25,28,28, SOUTH BOSTON,646 East Broadway,South Boston,02127
774275.209766507148743,2953649.215008825063705,27,,,CHINATOWN,2 Boylston St,Chinatown,02116
